First Name,Last Name,Age,Rank,Classification,Date of Incident,Date of Death,Cause Of Death,Nature Of Death,Duty,Activity,Emergency,Property Type,
Paul,Carr,58,Firefighter,Career,"May 31, 2005","May 31, 2005",Stress/Overexertion,Heart Attack,Training,Fitness Activity,No,Store/Office,
Robert,Duff,39,Firefighter,Volunteer,"May 30, 2005","May 31, 2005",Stress/Overexertion,Heart Attack,On-Duty,Other,No,,
Audie,Cross,44,Firefighter Crew Supervisor III,Career,"Jun 3, 2005","Jun 3, 2005",Vehicle Collision,Trauma,On-Duty,Vehicle Driver,No,Outdoor Property,
Bruce,Sternberger,56,Firefighter,Volunteer,"Jun 10, 2005","Jun 10, 2005",Exposure,Electrocution,On-Scene Fire,Setup,Yes,Outdoor Property,
Terry,Kelver,48,Lieutenant,Volunteer,"Jun 10, 2005","Jun 10, 2005",Stress/Overexertion,Heart Attack,On-Duty,Other,No,,
James,O'Neil,54,Firefighter,Volunteer,"Jun 13, 2005","Jun 13, 2005",Stress/Overexertion,Heart Attack,On-Duty,Advance Hose Lines/Fire Attack,No,Residential,
Peter,Lund,54,Lieutenant,Volunteer,"Jun 14, 2005","Jun 14, 2005",Stress/Overexertion,Heart Attack,On-Scene Fire,Search and Rescue,Yes,Residential,
Keith,Allred,52,Fire Chief,Volunteer,"Jun 21, 2005","Jun 21, 2005",Vehicle Collision,Trauma,On-Duty,Vehicle Driver,No,Street/Road,
Kenneth,Gailley,,,Volunteer,"Jun 21, 2005","Jun 21, 2005",Stress/Overexertion,Heart Attack,On-Duty,Unknown,Yes,Street/Road,
William,McAnally,64,Firefighter,Volunteer,"Jun 22, 2005","Jun 22, 2005",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Street/Road,
Joseph,Buckel,67,Fire Chief,Volunteer,"Jun 23, 2005","Jun 23, 2005",Stress/Overexertion,Heart Attack,Response,Personal Vehicle Driver/Passenger,Yes,,
Valeree,Claude,33,Firefighter / EMT,Part-Time (Paid),"Jun 24, 2005","Jun 24, 2005",Other,Other,On-Duty,Standby,No,Store/Office,
John,Husser,55,Firefighter,Volunteer,"Jun 28, 2005","Jun 28, 2005",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Gary,Jolley,52,Firefighter,Volunteer,"Jun 28, 2005","Jun 28, 2005",Stress/Overexertion,Heart Attack,Return,Personal Vehicle Driver/Passenger,No,Residential,
Thomas,"Hurlbert, Jr.",54,Fire Apparatus Operator,Career,"Jul 7, 2005","Jul 7, 2005",Stress/Overexertion,Heart Attack,Return,Vehicle Driver,No,Street/Road,
Joseph,Evans,61,Engineer,Volunteer,"Jul 10, 2005","Jul 10, 2005",Stress/Overexertion,Heart Attack,On-Scene Fire,Pump Operations,Yes,Residential,
Todd,Blanchard,31,Firefighter,Career,"Jul 14, 2005","Jul 14, 2005",Impact,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Donald,DeVries,50,Firefighter,Volunteer,"Jul 17, 2005","Jul 17, 2005",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Gerald,Martinez,,,Wildland Full-Time,"Jul 18, 2005","Jul 18, 2005",Stress/Overexertion,Heart Attack,On-Duty,Support,No,Outdoor Property,
Thomas,Ivey,48,Firefighter,Volunteer,"Dec 27, 2004","Jul 26, 2005",Vehicle Collision,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
William,Bostian,62,Fire Police Lieutenant,Volunteer,"Aug 6, 2005","Aug 6, 2005",Unknown,Heart Attack,On-Duty,Other,No,N/A,
Christopher,Kanton,24,Firefighter,Career,"Aug 6, 2005","Aug 6, 2005",Vehicle Collision,Trauma,Response,Vehicle Driver,Yes,N/A,
Edwin,Berg,67,Fire Chief,Volunteer,"Aug 11, 2005","Aug 11, 2005",Other,Other,On-Duty,Other,No,Institutional,
Rodney,English,48,Sergeant,Career,"Aug 14, 2005","Aug 14, 2005",Other,Heart Attack,On-Duty,In-Station Duties,No,Storage,
Nicholas,Yuselew,47,Firefighter/EMT EMS Captain,Paid-on-Call,"Aug 16, 2005","Aug 16, 2005",Stress/Overexertion,Heart Attack,Training,Fitness Activity,No,Store/Office,
David,Stautamoyer,,,Volunteer,"Aug 18, 2005","Aug 18, 2005",Stress/Overexertion,Heart Attack,On-Duty,,No,,
Joseph,Walsh,76,Fire Police Officer,Volunteer,"Aug 17, 2005","Aug 18, 2005",Impact,Trauma,On-Scene Fire,Scene Safety,Yes,Street/Road,
Philip,Young,59,Firefighter,Volunteer,"Apr 2, 2005","Aug 22, 2005",Fall,Stroke,On-Duty,In-Station Duties,No,Store/Office,
Daniel,Angert,44,Fire Police Officer,Volunteer,"Aug 24, 2005","Aug 25, 2005",Stress/Overexertion,Heart Attack,On-Duty,Support,No,N/A,
Michael,Switala,50,Firefighter,Volunteer,"Aug 27, 2005","Aug 28, 2005",Trapped,Suffocation,Training,Other,No,Outdoor Property,
Robert,Bestgen,51,Firefighter,Volunteer,"Sep 2, 2005","Sep 3, 2005",Impact,Trauma,On-Duty,Standby,No,N/A,
Henry,Combs,46,Chief,Volunteer,"Sep 4, 2005","Sep 4, 2005",Vehicle Collision,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Residential,
Marvin,"Jackson, Sr",,,Volunteer,"Sep 5, 2005","Sep 5, 2005",Stress/Overexertion,Heart Attack,On-Scene Fire,Pump Operations,Yes,Street/Road,
Robert,Pauley,,Firefighter,Volunteer,"Sep 11, 2005","Sep 11, 2005",Vehicle Collision,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
James,Scott,57,Assistant Chief,Volunteer,"Sep 16, 2005","Sep 16, 2005",Stress/Overexertion,Heart Attack,On-Duty,Personal Vehicle Driver/Passenger,No,,
Edwin,King,55,Fire Chief,Volunteer,"Sep 21, 2005","Sep 21, 2005",Vehicle Collision,Trauma,Response,Vehicle Driver,Yes,Outdoor Property,
Paul,Belamrez,,,Career,"Sep 22, 2005","Sep 22, 2005",Stress/Overexertion,Heart Attack,On-Duty,Incident Command,No,,
Peter,"Hotaling, Sr.",57,Sr. Fire Police Captain,Volunteer,"Oct 4, 2005","Oct 4, 2005",Stress/Overexertion,Heart Attack,On-Duty,In-Station Duties,No,Residential,
Wendell,Jeffery,47,Lieutenant,Career,"Oct 24, 2005","Oct 24, 2005",Stress/Overexertion,Heart Attack,On-Duty,In-Station Duties,No,Store/Office,
Robert,Gallardy,47,Captain,Career,"Oct 23, 2005","Oct 25, 2005",Trapped,Burns,Training,Other,No,Educational,
Franklin,Eubanks,47,Firefighter,Volunteer,"Oct 25, 2005","Oct 25, 2005",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Paul,"Thorne, Sr.",71,Firefighter,Volunteer,"Oct 23, 2005","Oct 25, 2005",Stress/Overexertion,Stroke,On-Duty,Other,No,Store/Office,
Walter,"Sykes, Jr.",48,Firefighter,Volunteer,"Oct 26, 2005","Oct 26, 2005",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
E.,Parsell,38,Captain,Volunteer,"Nov 4, 2005","Nov 4, 2005",Stress/Overexertion,Heart Attack,Response,Other,Yes,Residential,
Eduardo,Teran,43,Firefighter,Career,"Nov 5, 2005","Nov 5, 2005",Stress/Overexertion,Heart Attack,On-Scene Fire,Setup,Yes,Residential,
James,Webb,41,Assistant Chief,Volunteer,"Nov 5, 2005","Nov 5, 2005",Vehicle Collision,Trauma,Response,Vehicle Driver,Yes,Street/Road,
Michael,Bevans,59,Captain,Career,"Jun 26, 2004","Nov 6, 2005",Other,Other,On-Scene Emergency,EMS/Patient Care,Yes,N/A,
Timmy,Hardy,32,Engineer,Career,"Nov 7, 2005","Nov 7, 2005",Trapped,Suffocation,On-Scene Fire,Ventilation,Yes,Industrial,
Brian,Pugh,53,Fire Chief,Career,"Nov 6, 2005","Nov 8, 2005",Stress/Overexertion,Stroke,On-Duty,Other,No,Public Assembly,
Kenneth,Mitchell,58,Fire Chief,Volunteer,"Nov 10, 2005","Nov 10, 2005",Stress/Overexertion,Unknown,On-Scene Fire,Setup,Yes,Residential,
Kevin,Foster,41,Captain,Volunteer,"Nov 12, 2005","Nov 12, 2005",Vehicle Collision,Trauma,Response,Vehicle Driver,Yes,Street/Road,
Max,Willard,68,Fire Chief,Volunteer,"Nov 12, 2005","Nov 12, 2005",Trapped,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Vacant Property,
James,"Lafferty, Sr.",68,Fire Police Chief,Volunteer,"Nov 14, 2005","Nov 15, 2005",Unknown,Heart Attack,On-Scene Emergency,Scene Safety,Yes,Residential,
Carl,Lambert,,,Volunteer,"Nov 20, 2005","Nov 20, 2005",Stress/Overexertion,Heart Attack,Training,Other,No,Outdoor Property,
Clint,Rice,28,Firefighter,Volunteer,"Nov 22, 2005","Nov 22, 2005",Vehicle Collision,Trauma,Response,Vehicle Driver,Yes,Outdoor Property,
Charles,McKenzie,,Fire Fighter,Volunteer,"Nov 23, 2005","Nov 23, 2005",Impact,Trauma,On-Scene Fire,Water Supply,Yes,Residential,
Robert,Staepel,41,Firefighter/EMT,Career,"Nov 22, 2005","Nov 25, 2005",Stress/Overexertion,Heart Attack,Training,Advance Hose Lines/Fire Attack,No,,
Christopher,Roy,25,Firefighter,Career,"Nov 28, 2005","Nov 28, 2005",Vehicle Collision,Trauma,Response,Vehicle Driver,Yes,Street/Road,
Richard,McCurley,33,Captain,Career,"Dec 2, 2005","Dec 2, 2005",Vehicle Collision,Trauma,Response,Vehicle Passenger,Yes,Street/Road,
Chad,Wessels,31,Captain,Volunteer,"Dec 11, 2005","Dec 11, 2005",Vehicle Collision,Trauma,Response,Vehicle Driver,Yes,Residential,
Chelsea,Garvin,19,Firefighter,Volunteer,"Dec 10, 2005","Dec 15, 2005",Vehicle Collision,Trauma,On-Duty,Other,No,Outdoor Property,
Michael,Hart,33,Firefighter,Career,"Dec 20, 2005","Dec 20, 2005",Vehicle Collision,Trauma,On-Duty,Personal Vehicle Driver/Passenger,No,Street/Road,
Richard,Longoria,54,Firefighter II,Career,"Jan 3, 2006","Jan 3, 2006",Stress/Overexertion,Stroke,On-Duty,Personal Vehicle Driver/Passenger,No,Street/Road,
David,Packard,41,Lieutenant,Volunteer,"Jan 10, 2006","Jan 11, 2006",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Amy,Schnearle-Pennywitt,34,Firefighter,Career,"Jan 7, 2006","Jan 13, 2006",Impact,Trauma,On-Scene Emergency,Scene Safety,Yes,Street/Road,
Jason,Johnson,28,Firefighter,Volunteer,"Jan 14, 2006","Jan 14, 2006",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Street/Road,
Roger,Armstrong,42,Firefighter,Volunteer,"Jan 20, 2006","Jan 21, 2006",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
John,Westervelt,57,Firefighter,Volunteer,"Jan 22, 2006","Jan 22, 2006",Stress/Overexertion,Heart Attack,On-Duty,Other,Yes,Residential,
Jack,Arnold,48,Forest Fire Equipment Operator,Wildland Full-Time,"Jan 23, 2006","Jan 23, 2006",Stress/Overexertion,Heart Attack,On-Duty,Personal Vehicle Driver/Passenger,No,Street/Road,
Harold,Taylor,65,Assistant Chief,Volunteer,"Jan 26, 2006","Jan 26, 2006",Stress/Overexertion,Heart Attack,Response,Other,Yes,Residential,
Tracy,Champion,49,Firefighter,Career,"Jan 28, 2006","Jan 28, 2006",Stress/Overexertion,Heart Attack,On-Scene Fire,Salvage and Overhaul,Yes,Residential,
Gary,Kistler Sr.,65,Firefighter,Career,"Jan 30, 2006","Feb 5, 2006",Exposure,Other,On-Duty,Extrication,Yes,Street/Road,
Edward,Marbet,31,Firefighter,Volunteer,"Feb 9, 2006","Feb 9, 2006",Trapped,Suffocation,On-Scene Fire,Search and Rescue,Yes,Residential,
Donald,Herbert,44,Firefighter,Career,"Dec 29, 1995","Feb 21, 2006",Trapped,Other,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Dustin,Jones,23,Firefighter,Volunteer,"Feb 21, 2006","Feb 21, 2006",Collapse,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Store/Office,
Lloyd,McCulloch,64,Captain,Volunteer,"Feb 21, 2006","Feb 21, 2006",Collapse,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Store/Office,
Robert,Wisting,77,Firefighter,Volunteer,"Feb 22, 2006","Feb 23, 2006",Stress/Overexertion,Heart Attack,On-Duty,Other,Yes,Industrial,
Robert,Schnibbe Jr.,57,Battalion Chief,Part-Time (Paid),"Mar 3, 2006","Mar 3, 2006",Stress/Overexertion,Heart Attack,On-Scene Fire,Incident Command,Yes,Residential,
Wayne,Yarborough,59,Lieutenant,Volunteer,"Mar 5, 2006","Mar 5, 2006",Stress/Overexertion,Heart Attack,On-Duty,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
George,Jackson,67,Firefighter,Career,"Oct 21, 1990","Mar 7, 2006",Trapped,Burns,On-Scene Fire,Search and Rescue,Yes,Residential,
Michael,Davenport,39,Inmate Firefighter,Volunteer,"Mar 8, 2006","Mar 9, 2006",Disorientation,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Jeffrey,Bowman,42,Lieutenant,Career,"Mar 9, 2006","Mar 11, 2006",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Barry,Levin,58,Safety Officer,Volunteer,"Mar 12, 2006","Mar 12, 2006",Stress/Overexertion,Other,On-Duty,Personal Vehicle Driver/Passenger,Yes,Street/Road,
Donald,Lalosh,49,Firefighter,Volunteer,"Mar 12, 2006","Mar 12, 2006",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Street/Road,
Patrick,Henry,54,Captain,Wildland Full-Time,"Mar 13, 2006","Mar 13, 2006",Stress/Overexertion,Heart Attack,Training,Fitness Activity,No,Store/Office,
Kelly,Kincaid,41,Firefighter,Paid-on-Call,"Mar 17, 2006","Mar 19, 2006",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Robert,McLaughlin,40,Captain,Career,"Mar 20, 2006","Mar 22, 2006",Trapped,Drowning,Training,Other,No,Outdoor Property,
John,Horton,32,Firefighter/Paramedic,Volunteer,"Mar 1, 2006","Mar 24, 2006",Trapped,Burns,On-Scene Fire,Vehicle Driver,Yes,Outdoor Property,
Shon,Rice,34,Firefighter-EMT,Career,"Mar 31, 2006","Mar 31, 2006",Stress/Overexertion,Heart Attack,On-Duty,In-Station Duties,No,Store/Office,
David,Moore II,40,Assistant Chief,Industrial,"Apr 3, 2006","Apr 3, 2006",Stress/Overexertion,Stroke,Training,Other,No,Educational,
Richard,Sullivan,57,Fire Chief,Volunteer,"Apr 4, 2006","Apr 5, 2006",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
James,McMorries,62,Firefighter,Volunteer,"Mar 12, 2006","Apr 9, 2006",Vehicle Collision,Trauma,On-Scene Fire,Vehicle Driver,Yes,Outdoor Property,
Kurt,Krebbs,45,Fire Captain,Career,"Apr 7, 2006","Apr 9, 2006",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Kevin,Apuzzio,21,Foreman,Volunteer,"Apr 11, 2006","Apr 11, 2006",Collapse,Suffocation,On-Scene Fire,Search and Rescue,Yes,Residential,
Thomas,Kuehl,38,Firefighter,Volunteer,"Apr 8, 2006","Apr 11, 2006",Impact,Trauma,On-Scene Fire,Vehicle Driver,Yes,Outdoor Property,
David,Smith,73,Fire Police Officer/Fire Commisioner,Volunteer,"Apr 11, 2006","Apr 11, 2006",Stress/Overexertion,Heart Attack,On-Scene Emergency,Scene Safety,Yes,Street/Road,
Mark,Stanley,49,Forest Technician,Wildland Full-Time,"Apr 13, 2006","Apr 13, 2006",Impact,Trauma,On-Duty,Other,No,Outdoor Property,
Jose,"Ramirez, Jr.",35,Firefighter/EMT,Volunteer,"Apr 15, 2006","Apr 15, 2006",Vehicle Collision,Trauma,Response,Vehicle Driver,Yes,Street/Road,
Willie,Price,58,Firefighter,Volunteer,"Apr 16, 2006","Apr 16, 2006",Stress/Overexertion,Heart Attack,On-Duty,Standby,No,Outdoor Property,
Garry,Tanner,57,Assistant Chief,Volunteer,"Apr 19, 2006","Apr 19, 2006",Vehicle Collision,Trauma,Return,Vehicle Driver,No,Street/Road,
William,"Robinson, III",39,Fire Chief,Volunteer,"Apr 21, 2006","Apr 21, 2006",Vehicle Collision,Trauma,On-Duty,Vehicle Driver,No,Outdoor Property,
Russell,Schwantes,39,Fire Apparatus Operator,Career,"Apr 16, 2006","Apr 25, 2006",Stress/Overexertion,Heart Attack,Training,Fitness Activity,No,Store/Office,
Alan,Leake,51,Captain,Career,"Apr 30, 2006","Apr 30, 2006",Stress/Overexertion,Heart Attack,On-Scene Emergency,Other,Yes,Street/Road,
Richard,Montoya,61,Lieutenant,Career,"May 14, 2006","May 21, 2006",Disorientation,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Gerald,Machajewski,62,Firefighter,Volunteer,"May 21, 2006","May 21, 2006",Stress/Overexertion,Heart Attack,On-Scene Emergency,Setup,Yes,Street/Road,
Joseph,Bilka,60,Firefighter,Volunteer,"Apr 22, 2006","May 21, 2006",Vehicle Collision,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,N/A,
William,Craddock,37,Firefighter III,Career,"May 4, 2006","Jun 13, 2006",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Michael,Day,49,Deputy Assistant Chief,Career,"Jun 13, 2006","Jun 13, 2006",Stress/Overexertion,Heart Attack,On-Duty,In-Station Duties,No,Store/Office,
Michael,Greene,43,Ex-Captain,Volunteer,"Jun 16, 2006","Jun 16, 2006",Other,Electrocution,On-Duty,Other,No,Public Assembly,
Robert,Edwards,45,Firefighter,Volunteer,"Jun 23, 2006","Jun 23, 2006",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Steven,Smith,34,Deputy Chief,Volunteer,"Jun 25, 2006","Jun 25, 2006",Collapse,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Eric,Olson,35,Firefighter,Volunteer,"Jul 4, 2006","Jul 5, 2006",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Outdoor Property,
Otis,Chupp,61,Fire Chief,Career,"Jul 12, 2006","Jul 12, 2006",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Alethea,Nixon,17,Junior Firefighter,Volunteer,"Jul 26, 2006","Jul 26, 2006",Vehicle Collision,Trauma,Response,Vehicle Passenger,Yes,Street/Road,
Christopher,Brown,20,Firefighter,Volunteer,"Jul 27, 2006","Jul 27, 2006",Vehicle Collision,Trauma,On-Duty,Personal Vehicle Driver/Passenger,No,Street/Road,
Rose,Woodbridge,56,Firefighter,Volunteer,"Jul 28, 2006","Jul 28, 2006",Vehicle Collision,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
Jeffrey,Irwin,43,Firefighter,Paid-on-Call,"Jul 29, 2006","Jul 29, 2006",Stress/Overexertion,Heart Attack,On-Duty,Setup,Yes,Residential,
Paul,Brady,42,Firefighter,Volunteer,"Jul 30, 2006","Jul 30, 2006",Trapped,Trauma,On-Duty,In-Station Duties,No,Store/Office,
Lee,Walters,54,Assistant Chief,Part-Time (Paid),"Aug 2, 2006","Aug 2, 2006",Stress/Overexertion,Heart Attack,On-Scene Fire,Water Supply,Yes,Residential,
Larry,Fanning,57,Firefighter,Volunteer,"Aug 2, 2006","Aug 2, 2006",Stress/Overexertion,Heart Attack,On-Duty,Standby,No,Residential,
Terry,Jacobs,48,Pilot,Wildland Contract,"Aug 4, 2006","Aug 4, 2006",Vehicle Collision,Trauma,On-Scene Fire,Vehicle Driver,Yes,Outdoor Property,
Andrei,Pantchenko,38,Co-Pilot,Wildland Contract,"Aug 4, 2006","Aug 4, 2006",Vehicle Collision,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Ollie,Tate,56,Firefighter,Volunteer,"Aug 8, 2006","Aug 8, 2006",Stress/Overexertion,Heart Attack,Response,Vehicle Passenger,Yes,Residential,
Richard,Washington  Jr.,49,Firefighter II,Career,"Aug 8, 2006","Aug 8, 2006",Stress/Overexertion,Heart Attack,Training,Fitness Activity,No,Store/Office,
Dana,MacCrimmon,45,Firefighter,Career,"Aug 10, 2006","Aug 11, 2006",Stress/Overexertion,Stroke,On-Duty,Other,No,Residential,
Dennis,Hayes,59,Firefighter,Volunteer,"Aug 12, 2006","Aug 12, 2006",Stress/Overexertion,Heart Attack,On-Scene Fire,Pump Operations,Yes,Residential,
Paul,Montavon Sr.,59,Lieutenant,Part-Time (Paid),"Aug 13, 2006","Aug 13, 2006",Stress/Overexertion,Heart Attack,On-Scene Emergency,Support,Yes,Street/Road,
Lillian,Patten,32,Firefighter/Lookout,Wildland Part-Time,"Aug 13, 2006","Aug 13, 2006",Vehicle Collision,Trauma,On-Duty,Support,No,Outdoor Property,
Michael,Lewis,37,Firefighter/Assistant Helitack Manager,Wildland Full-Time,"Aug 13, 2006","Aug 13, 2006",Vehicle Collision,Trauma,On-Duty,Support,No,Outdoor Property,
Monica,Zajanc,27,Firefighter,Wildland Part-Time,"Aug 13, 2006","Aug 13, 2006",Vehicle Collision,Trauma,On-Duty,Support,No,Outdoor Property,
Quin,Stone,42,Pilot,Wildland Contract,"Aug 13, 2006","Aug 13, 2006",Vehicle Collision,Trauma,On-Duty,Support,No,Outdoor Property,
Arnold,Wolff,55,Lieutenant,Career,"Aug 13, 2006","Aug 13, 2006",Collapse,Suffocation,On-Scene Fire,Search and Rescue,Yes,Residential,
Spencer,Koyle,33,Division Supervisor,Wildland Full-Time,"Aug 17, 2006","Aug 17, 2006",Trapped,Burns,On-Scene Fire,Support,Yes,Outdoor Property,
Michael,Reilly,25,Firefighter,Career,"Aug 27, 2006","Aug 27, 2006",Collapse,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Store/Office,
Howard,"Carpluk, Jr.",43,Lieutenant,Career,"Aug 27, 2006","Aug 27, 2006",Collapse,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Store/Office,
Wilbur,Ritter,78,Fire Police Officer,Volunteer,"Aug 28, 2006","Aug 28, 2006",Stress/Overexertion,Heart Attack,Response,Other,Yes,Store/Office,
Errett,Miller,43,Assistant Fire Chief,Volunteer,"Sep 4, 2006","Sep 4, 2006",Vehicle Collision,Trauma,Response,Vehicle Driver,Yes,Street/Road,
David,Prior,,Lieutenant,Volunteer,"Sep 4, 2006","Sep 4, 2006",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Outdoor Property,
George,Willett,52,Pilot,Wildland Contract,"Sep 6, 2006","Sep 6, 2006",Vehicle Collision,Trauma,On-Scene Fire,Support,Yes,Outdoor Property,
Robert,Stone,36,Battalion Chief,Wildland Full-Time,"Sep 6, 2006","Sep 6, 2006",Vehicle Collision,Trauma,On-Scene Fire,Support,Yes,Outdoor Property,
Vincent,Neglia,45,Acting Captain,Career,"Sep 9, 2006","Sep 9, 2006",Trapped,Suffocation,On-Scene Fire,Search and Rescue,Yes,Residential,
John,Memory II,19,Firefighter,Volunteer,"Sep 16, 2006","Sep 16, 2006",Other,Heart Attack,Training,Other,No,Outdoor Property,
Gary,Cook,49,Firefighter,Volunteer,"Sep 16, 2006","Sep 16, 2006",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Residential,
Johnny,Buchanan,47,Lieutenant,Volunteer,"Sep 18, 2006","Sep 18, 2006",Stress/Overexertion,Heart Attack,On-Duty,Personal Vehicle Driver/Passenger,No,Street/Road,
Ronald,Allen Jr.,36,Lieutenant,Volunteer,"Sep 22, 2006","Sep 22, 2006",Impact,Trauma,On-Duty,Other,No,Street/Road,
John,Beyer,38,Firefighter,Volunteer,"Sep 21, 2006","Sep 22, 2006",Stress/Overexertion,Heart Attack,Training,Extrication,No,Outdoor Property,
Edward,Jenik,53,Captain,Career,"Sep 27, 2006","Sep 27, 2006",Stress/Overexertion,Heart Attack,On-Duty,Vehicle Driver,No,Street/Road,
Allan,Roberts,42,Firefighter,Career,"Oct 10, 2006","Oct 10, 2006",Trapped,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
John,Stura,78,Firefighter,Volunteer,"Oct 16, 2006","Oct 16, 2006",Impact,Trauma,On-Duty,Other,No,Street/Road,
Charles,Kessel,52,Firefighter,Volunteer,"Aug 12, 2002","Oct 16, 2006",Vehicle Collision,Trauma,On-Duty,Personal Vehicle Driver/Passenger,No,Street/Road,
Mark,Loutzenhiser,44,Captain,Wildland Full-Time,"Oct 26, 2006","Oct 26, 2006",Trapped,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Jess,McLean,27,Fire Engine Operator,Wildland Full-Time,"Oct 26, 2006","Oct 26, 2006",Trapped,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Daniel,Hoover-Najera,20,Firefighter,Wildland Part-Time,"Oct 26, 2006","Oct 26, 2006",Trapped,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Jason,McKay,27,Assistant Fire Engine Operator,Wildland Full-Time,"Oct 26, 2006","Oct 26, 2006",Trapped,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Dr. Raleigh,England,59,Chaplain / Deputy Chief,Volunteer,"Oct 19, 2006","Oct 28, 2006",Stress/Overexertion,Stroke,Training,In-Station Duties,No,,
Pablo,Cerda,23,Firefighter,Wildland Part-Time,"Oct 26, 2006","Oct 31, 2006",Trapped,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Gregory,Cloud,33,Firefighter,Volunteer,"Nov 1, 2006","Nov 1, 2006",Disorientation,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Joseph,Pagano,52,Captain,Career,"Nov 3, 2006","Nov 3, 2006",Stress/Overexertion,Heart Attack,On-Duty,In-Station Duties,No,Store/Office,
Kyle,Weisbrich,22,Probationary Firefighter,Paid-on-Call,"Nov 12, 2006","Nov 12, 2006",Vehicle Collision,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
Robert,Whittaker,55,Firefighter,Volunteer,"Nov 14, 2006","Nov 14, 2006",Stress/Overexertion,Heart Attack,Response,Vehicle Driver,Yes,Residential,
Michael,Browne,24,Firefighter/EMT-B,Volunteer,"Nov 16, 2006","Nov 16, 2006",Impact,Trauma,Response,Other,Yes,Street/Road,
Hector,McClune,76,Firefighter,Volunteer,"Nov 26, 2006","Nov 26, 2006",Stress/Overexertion,Heart Attack,On-Scene Fire,Unknown,Yes,Outdoor Property,
Thomas,Van Liew,20,Acting Lieutenant,Career,"Nov 28, 2006","Nov 28, 2006",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Store/Office,
Steven,Solomon,33,Firefighter,Career,"Nov 23, 2006","Nov 29, 2006",Trapped,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Jeffrey,Hollingsworth,38,Deputy Chief,Volunteer,"Nov 30, 2006","Nov 30, 2006",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Outdoor Property,
Kent,Long,44,Firefighter II,Career,"Dec 1, 2006","Dec 1, 2006",Stress/Overexertion,Heart Attack,Training,Fitness Activity,No,Store/Office,
